,entity,tag
0,16.22.4.,0
2,PUTROOTFH,0
3,replaces,0
4,the,0
5,current filehandle,Variable
6,with,0
7,the,0
8,filehandle that represents the root of the server's namespace,Variable
9,<NULL>.,0
11,From,0
12,this,0
13,"filehandle,",0
14,a,0
15,LOOKUP,0
16,operation,0
17,can,0
18,locate,0
19,any,0
20,other,0
21,filehandle,0
22,on,0
23,the,0
24,server,0
25,<NULL>.,0
26,This,0
27,filehandle,0
28,may,0
29,be,0
30,different,0
31,from,0
32,the,0
33,public,0
34,"filehandle,",0
35,which,0
36,may,0
37,be,0
38,associated,0
39,with,0
40,some,0
41,other,0
42,directory,0
43,on,0
44,the,0
45,server,0
46,<NULL>.,0
48,See,0
49,Section,0
50,15.2.4.1,0
51,for,0
52,more,0
53,details,0
54,on,0
55,the,0
56,current,0
57,filehandle,0
58,16.22.5.,0
60,PUTROOTFH,0
61,is,0
62,commonly,0
63,used,0
64,as,0
65,the,0
66,first,0
67,operator,0
68,in,0
69,an,0
70,NFS,0
71,request,0
72,to,0
73,set,0
74,the,0
75,context,0
76,for,0
77,operations,0
78,that,0
79,follow,0
80,it,0
81,16.33.4.,0
83,The,0
84,client,0
85,uses,0
86,the,0
87,SETCLIENTID,0
88,operation,0
89,to,0
90,notify,0
91,the,0
92,server,0
93,of,0
94,its,0
95,intention,0
96,to,0
97,use,0
98,a,0
99,particular,0
100,client identifier,Variable
102,callback,Variable
104,and,0
105,callback_ident,Variable
106,for,0
107,subsequent,0
108,requests,0
109,that,0
110,entail,0
111,creating,0
112,"lock,",0
113,share,0
114,"reservation,",0
115,and,0
116,delegation,0
117,state,0
118,on,0
119,the,0
120,server,0
121,<NULL>.,0
123,Upon,0
124,successful,0
125,completion,0
126,the,0
127,server,0
128,will,0
129,return,0
130,a,0
131,shorthand,0
132,client,0
133,ID,0
134,"that,",0
135,if,0
136,confirmed,0
137,via,0
138,a,0
139,separate,0
140,"step,",0
141,will,0
142,be,0
143,used,0
144,in,0
145,subsequent,0
146,file,0
147,locking,0
148,and,0
149,file,0
150,open,0
151,requests,0
152,<NULL>.,0
154,Confirmation,0
155,of,0
156,the,0
157,client,0
158,ID,0
159,must,0
160,be,0
161,done,0
162,via,0
163,the,0
164,SETCLIENTID_CONFIRM,0
165,operation,0
166,to,0
167,return,0
168,the,0
169,client,0
170,ID,0
171,and,0
172,setclientid_confirm,0
173,"values,",0
174,as,0
175,"verifiers,",0
176,to,0
177,the,0
178,server,0
179,<NULL>.,0
181,Two,0
182,verifiers,0
183,are,0
184,necessary,0
185,because,0
186,it,0
187,is,0
188,possible,0
189,to,0
190,use,0
191,SETCLIENTID,0
192,and,0
193,SETCLIENTID_CONFIRM,0
194,to,0
195,modify,0
196,the,0
197,callback,0
198,and,0
199,callback_ident,0
200,information,0
201,but,0
202,not,0
203,the,0
204,shorthand,0
205,client,0
206,ID,0
207,<NULL>.,0
209,In,0
210,that,0
211,"event,",0
212,the,0
213,setclientid_confirm,0
214,value,0
215,is,0
216,effectively,0
217,the,0
218,only,0
219,verifier,0
220,The,0
221,callback,0
222,information,0
223,provided,0
224,in,0
225,this,0
226,operation,0
227,will,0
228,be,0
229,used,0
230,if,0
231,the,0
232,client,0
233,is,0
234,provided,0
235,an,0
236,open,0
237,delegation,0
238,at,0
239,a,0
240,future,0
241,point,0
242,<NULL>.,0
243,"Therefore,",0
244,the,0
245,client,0
246,must,0
247,correctly,0
248,reflect,0
249,the,0
250,program,0
251,and,0
252,port,0
253,numbers,0
254,for,0
255,the,0
256,callback,0
257,program,0
258,at,0
259,the,0
260,time,0
261,SETCLIENTID,0
262,is,0
263,used,0
264,The,0
265,callback_ident,Variable
266,value,0
267,is,0
268,used,0
269,by,0
270,the,0
271,server,0
272,on,0
273,the,0
274,callback,0
275,<NULL>.,0
277,The,0
278,client,0
279,can,0
280,leverage,0
281,the,0
282,callback_ident,Variable
283,to,0
284,eliminate,0
285,the,0
286,need,0
287,for,0
288,more,0
289,than,0
290,one,0
291,callback,0
292,RPC,0
293,program,0
294,"number,",0
295,while,0
296,still,0
297,being,0
298,able,0
299,to,0
300,determine,0
301,which,0
302,server,0
303,is,0
304,initiating,0
305,the,0
306,callback,0
307,16.33.5.,0
309,To,0
310,understand,0
311,how,0
312,to,0
313,implement,0
314,"SETCLIENTID,",0
315,make,0
316,the,0
317,following,0
318,notations,0
319,<NULL>.,0
321,x,0
323,be,0
324,the,0
325,value,0
326,of,0
327,the,0
328,client.id,0
329,subfield,0
330,of,0
331,the,0
332,SETCLIENTID4args,0
333,structure,0
334,v,0
336,be,0
337,the,0
338,value,0
339,of,0
340,the,0
341,client.verifier,0
342,subfield,0
343,of,0
344,the,0
