,entity,tag,Sentence #,POS
0,16.22.4.,0,0,CD
1,PUTROOTFH,0,0,NN
2,replaces,0,0,NNS
3,the,0,0,DT
4,current,Variable,0,JJ
5,filehandle,Variable,0,NN
6,with,0,0,IN
7,the,0,0,DT
8,filehandle,Variable,0,NN
9,that,Variable,0,IN
10,represents,Variable,0,VBZ
11,the,Variable,0,DT
12,root,Variable,0,NN
13,of,Variable,0,IN
14,the,Variable,0,DT
15,server's,Variable,0,NN
16,namespace,Variable,0,NN
17,NULL.,0,0,NNP
18,From,0,0,IN
19,this,0,0,DT
20,filehandle,0,0,NN
21,a,0,0,DT
22,LOOKUP,0,0,NN
23,operation,0,0,NN
24,can,0,0,MD
25,locate,0,0,NN
26,any,0,0,DT
27,other,0,0,JJ
28,filehandle,0,0,NN
29,on,0,0,IN
30,the,0,0,DT
31,server,0,0,NN
32,NULL.,0,0,NNP
33,This,0,0,DT
34,filehandle,0,0,NN
35,may,0,0,MD
36,be,0,0,VB
37,different,0,0,JJ
38,from,0,0,IN
39,the,0,0,DT
40,public,0,0,NN
41,filehandle,0,0,NN
42,which,0,0,WDT
43,may,0,0,MD
44,be,0,0,VB
45,associated,0,0,VBN
46,with,0,0,IN
47,some,0,0,DT
48,other,0,0,JJ
49,directory,0,0,NN
50,on,0,0,IN
51,the,0,0,DT
52,server,0,0,NN
53,NULL.,0,0,NNP
54,See,0,0,VB
55,Section,0,0,NN
56,15.2.4.1,0,0,CD
57,for,0,0,IN
58,more,0,0,RBR
59,details,0,0,NNS
60,on,0,0,IN
61,the,0,0,DT
62,current,0,0,JJ
63,filehandle,0,0,NN
64,16.22.5.,0,0,CD
65,PUTROOTFH,0,0,NN
66,is,0,0,VBZ
67,commonly,0,0,RB
68,used,0,0,VBN
69,as,0,0,IN
70,the,0,0,DT
71,first,0,0,RB
72,operator,0,0,NN
73,in,0,0,IN
74,an,0,0,DT
75,NFS,0,0,NN
76,request,0,0,NN
77,to,0,0,TO
78,set,0,0,NN
79,the,0,0,DT
80,context,0,0,NN
81,for,0,0,IN
82,operations,0,0,NNS
83,that,0,0,IN
84,follow,0,0,VB
85,it,0,0,PRP
86,16.33.4.,0,0,CD
87,The,0,0,DT
88,client,0,0,NN
89,uses,0,0,NNS
90,the,0,0,DT
91,SETCLIENTID,0,0,NN
92,operation,0,0,NN
93,to,0,0,TO
94,notify,0,0,NN
95,the,0,0,DT
96,server,0,0,NN
97,of,0,0,IN
98,its,0,0,PRP$
99,intention,0,0,NN
100,to,0,0,TO
101,use,0,0,NN
102,a,0,0,DT
103,particular,0,0,JJ
104,client,Variable,0,NN
105,identifier,Variable,0,NN
106,callback,Variable,0,NN
107,and,0,0,CC
108,callback_ident,Variable,0,NN
109,for,0,0,IN
110,subsequent,0,0,NN
111,requests,0,0,NNS
112,that,0,0,IN
113,entail,0,0,NN
114,creating,0,0,VBG
115,lock,0,0,NN
116,share,0,0,NN
117,reservation,0,0,NN
118,and,0,0,CC
119,delegation,0,0,NN
120,state,0,0,NN
121,on,0,0,IN
122,the,0,0,DT
123,server,0,0,NN
124,NULL.,0,0,NNP
125,Upon,0,0,IN
126,successful,0,0,JJ
127,completion,0,0,NN
128,the,0,0,DT
129,server,0,0,NN
130,will,0,0,MD
131,return,0,0,NN
132,a,0,0,DT
133,shorthand,0,0,NN
134,client,0,0,NN
135,ID,0,0,NN
136,that,0,0,IN
137,if,0,0,IN
138,confirmed,0,0,VBN
139,via,0,0,IN
140,a,0,0,DT
141,separate,0,0,JJ
142,step,0,0,NN
143,will,0,0,MD
144,be,0,0,VB
145,used,0,0,VBN
146,in,0,0,IN
147,subsequent,0,0,NN
148,file,0,0,NN
149,locking,0,0,VBG
150,and,0,0,CC
151,file,0,0,NN
152,open,0,0,JJ
